日期,代號,均線,法人,收盤價
2026-04-14,6515.TW,1,0,8470.0
2026-04-15,6515.TW,1,0,9020.0
2026-04-13,6515.TW,1,0,8560.0
2026-04-14,6515.TW,1,0,8470.0
2026-04-15,6515.TW,1,0,9020.0
2026-04-13,6516.TWO,1,0,62.3
2026-04-14,6516.TWO,1,0,62.0
2026-04-15,6516.TWO,-1,0,61.0
2026-04-13,6441.TWO,-1,0,18.2
2026-04-14,6441.TWO,-1,0,17.35
2026-04-15,6441.TWO,-1,0,19.05
2026-04-13,4958.TW,1,0,257.5
2026-04-14,4958.TW,1,0,251.5
2026-04-15,4958.TW,1,0,253.0
2026-04-13,6438.TW,1,0,181.0
2026-04-14,6438.TW,1,0,180.0
2026-04-15,6438.TW,1,0,177.0
2026-04-13,6542.TWO,-1,0,52.4
2026-04-14,6542.TWO,-1,0,52.0
2026-04-15,6542.TWO,-1,0,52.3
2026-04-13,6426.TW,1,0,216.5
2026-04-14,6426.TW,1,0,199.0
2026-04-15,6426.TW,1,0,196.5
2026-04-13,6426.TW,1,0,216.5
2026-04-14,6426.TW,1,0,199.0
2026-04-15,6426.TW,1,0,196.5
2026-04-13,6425.TWO,1,0,71.6
2026-04-14,6425.TWO,1,0,78.7
2026-04-15,6425.TWO,1,0,81.3
2026-04-13,6543.TWO,-1,0,22.65
2026-04-14,6543.TWO,-1,0,22.9
2026-04-15,6543.TWO,-1,0,22.9
2026-04-13,4971.TWO,1,0,678.0
2026-04-14,4971.TWO,1,0,696.0
2026-04-15,4971.TWO,1,0,700.0
2026-04-13,6546.TWO,-1,0,70.2
2026-04-14,6546.TWO,-1,0,69.9
